,actualPrice,suggPrice,numReviews,avgRating,questions,answers,brand,productCategory,priceDiff,percentSaved,answersPerQuestion,market,sku
47,1149.95,1700.0,1.0,5.0,7.0,44.0,all-clad,Cookware Sets,550.05,0.3235588235294117,6.2857142857142865,USA,822312
48,339.95,460.0,21.0,5.0,8.0,64.0,le creuset,Dutch Ovens & Braisers,120.05,0.2609782608695652,8.0,France,15636
49,339.95,339.95,4.0,4.5,14.0,87.0,le creuset,Dutch Ovens & Braisers,0.0,0.0,6.2142857142857135,France,904524
50,999.95,1344.0,4.0,5.0,5.0,10.0,demeyere,Cookware Sets,344.0499999999999,0.2559895833333333,2.0,Other EMEA,2755999
51,199.96,234.95,35.0,4.942857142857143,26.0,110.0,le creuset,Dutch Ovens & Braisers,34.98999999999998,0.14892530325601186,4.230769230769232,France,3494358
52,699.95,1105.0,17.0,4.764705882352942,15.0,91.0,all-clad,Cookware Sets,405.05,0.36656108597285053,6.066666666666666,USA,1039940
53,499.96,1002.0,5.0,4.0,1.0,33.0,scanpan,Cookware Sets,502.04,0.5010379241516967,33.0,Other EMEA,4716692
54,48.96,130.0,39.0,4.82051282051282,7.0,75.0,sur la table,Saucepans,81.03999999999998,0.6233846153846153,10.714285714285714,China,2393601
55,899.95,1290.0,1.0,5.0,2.0,31.0,all-clad,Cookware Sets,390.05,0.3023643410852713,15.5,USA,1855758
56,47.99,117.0,21.0,3.6666666666666665,8.0,68.0,greenpan,Skillets,69.00999999999999,0.5898290598290598,8.5,China,3078144
57,129.96,260.95,8.0,4.625,6.0,66.0,all-clad,Skillets,130.98999999999998,0.5019735581529028,11.0,USA,3820768
58,149.96,429.0,27.0,4.851851851851851,22.0,122.0,staub,Dutch Ovens & Braisers,279.04,0.6504428904428904,5.545454545454546,France,2446060
59,1699.95,2644.0,11.0,4.545454545454546,7.0,48.0,demeyere,Cookware Sets,944.05,0.35705370650529494,6.857142857142858,Other EMEA,2755981
60,99.96,186.0,56.0,4.410714285714286,14.0,119.0,greenpan,Skillets,86.04,0.4625806451612904,8.5,China,3822459
61,499.95,700.0,28.0,4.857142857142857,3.0,52.0,all-clad,Cookware Sets,200.05,0.2857857142857143,17.333333333333332,China,2758332
62,99.96,229.0,60.0,4.333333333333333,32.0,158.0,staub,Outdoor,129.04000000000002,0.5634934497816595,4.9375,France,2047520
63,99.96,149.95,11.0,4.545454545454546,10.0,68.0,sur la table,Other,49.99,0.3333777925975325,6.8,China,1433697
64,699.95,1278.0,2.0,5.0,2.0,29.0,staub,Cookware Sets,578.05,0.4523082942097026,14.5,France,2301778
65,199.96,307.0,20.0,4.7,9.0,62.0,scanpan,Dutch Ovens & Braisers,107.04,0.3486644951140065,6.888888888888888,Other EMEA,3078268
66,199.95,285.0,13.0,4.153846153846153,9.0,74.0,le creuset,Outdoor,85.05000000000003,0.298421052631579,8.222222222222221,France,2694107
67,99.96,204.95,35.0,4.6,19.0,81.0,all-clad,Skillets,104.99,0.5122712856794339,4.2631578947368425,USA,1451830
68,149.95,210.0,11.0,4.727272727272728,15.0,85.0,all-clad,Other,60.05000000000001,0.28595238095238107,5.666666666666668,China,207043
69,324.95,464.0,3.0,5.0,11.0,71.0,staub,Dutch Ovens & Braisers,139.05,0.29967672413793106,6.454545454545454,France,593335
70,99.96,214.0,10.0,4.9,13.0,95.0,scanpan,Skillets,114.04,0.5328971962616823,7.3076923076923075,Other EMEA,1453448
71,69.96,200.0,19.0,4.578947368421051,13.0,97.0,sur la table,Saute Pans,130.04000000000002,0.6502000000000001,7.461538461538463,China,2393585
72,1499.95,2410.0,2.0,5.0,4.0,60.0,all-clad,Cookware Sets,910.05,0.3776141078838174,15.0,USA,1855766
73,69.96,130.0,10.0,4.6,6.0,69.0,sur la table,Skillets,60.040000000000006,0.4618461538461539,11.5,China,2393668
74,249.96,534.95,1.0,5.0,4.0,37.0,all-clad,Saute Pans,284.99,0.5327413776988503,9.25,USA,319215
75,89.95,130.0,20.0,4.65,9.0,72.0,greenpan,Skillets,40.05,0.3080769230769231,8.0,China,3822434
76,399.95,571.0,8.0,5.0,10.0,68.0,staub,Dutch Ovens & Braisers,171.05,0.2995621716287216,6.8,France,1202134
77,299.96,714.0,8.0,5.0,4.0,24.0,staub,Dutch Ovens & Braisers,414.04,0.5798879551820728,6.0,France,2817625
78,299.95,400.0,4.0,5.0,4.0,24.0,scanpan,Skillets,100.05,0.25012500000000004,6.0,Other EMEA,4140745
79,284.95,370.0,5.0,5.0,12.0,72.0,le creuset,Dutch Ovens & Braisers,85.05000000000003,0.2298648648648649,6.0,France,889899
80,149.96,260.0,17.0,4.941176470588236,13.0,74.0,all-clad,Saucepans,110.04,0.4232307692307692,5.6923076923076925,USA,992859
81,134.95,257.0,1.0,5.0,3.0,10.0,staub,Skillets,122.05,0.4749027237354086,3.333333333333333,France,2817963
82,129.95,229.0,31.0,4.967741935483871,2.0,54.0,scanpan,Saute Pans,99.05,0.4325327510917031,27.0,Other EMEA,2745206
83,149.96,357.0,76.0,4.302631578947368,24.0,124.0,staub,Outdoor,207.04,0.5799439775910364,5.166666666666667,France,3078359
84,55.96,200.0,13.0,4.615384615384615,7.0,78.0,sur la table,Skillets,144.04,0.7202,11.142857142857142,China,2402931
85,999.95,1440.0,3.0,5.0,2.0,10.0,scanpan,Cookware Sets,440.05,0.3055902777777777,5.0,Other EMEA,3577582
86,999.95,1300.0,1.0,1.0,4.0,12.0,wolf gourmet,Cookware Sets,300.0499999999999,0.2308076923076923,3.0,USA,2088680
87,229.95,344.0,4.0,5.0,2.0,15.0,demeyere,Saucepans,114.05,0.3315406976744186,7.5,Other EMEA,2756088
88,199.96,475.0,17.0,4.823529411764706,4.0,47.0,demeyere,Saute Pans,275.04,0.5790315789473683,11.75,Other EMEA,2756047
89,199.95,286.0,6.0,5.0,9.0,44.0,staub,Outdoor,86.05000000000003,0.30087412587412593,4.888888888888889,France,679027
90,99.95,143.0,9.0,4.4444444444444455,3.0,50.0,greenpan,Saucepans,43.05,0.301048951048951,16.666666666666668,China,3822483
